coal_ticker,year,total_exposure_usd_m,attributed_usd_m,unattributed_usd_m,pct_attributed,n_identified_banks,identified_banks
DSSA,2024,870.902,862.2134,8.6886,99.0,5,BBCA; BBNI; BBRI; BMRI; BRIS
CUAN,2024,704.87,509.968,194.902,72.3,3,BBCA; BBNI; BMRI
AADI,2024,691.251,10.381,680.87,1.5,2,BBCA; BNLI
DOID,2024,579.8382,549.584,30.2542,94.8,1,BBNI
INDY,2024,575.4348,44.3309,531.1039,7.7,4,BBCA; BBKP; BMRI; NISP
ADRO,2024,472.762,0.0,472.762,0.0,0,
BYAN,2024,337.5418,337.5418,0.0,100.0,3,BBCA; BMRI; BNLI
TOBA,2024,311.0681,194.494,116.5742,62.5,3,BBCA; BBRI; BMRI
HRUM,2024,311.0299,0.0,311.0299,0.0,0,
ADMR,2024,298.8736,0.0,298.8736,0.0,0,
GEMS,2024,282.0602,282.0602,0.0,100.0,3,BBNI; BBRI; BMRI
BUMI,2024,158.1789,158.1789,0.0,100.0,4,BBNI; BBRI; BNLI; MEGA
ABMM,2024,107.1962,66.4215,40.7747,62.0,4,BBCA; BBRI; BMRI; NISP
ARII,2022,98.274,37.81,60.464,38.5,2,BDMN; BNLI
PTBA,2024,88.4608,88.4608,0.0,100.0,2,BBNI; BBRI
ITMG,2024,69.888,60.888,9.0,87.1,3,BBNI; BNGA; BNLI
SGER,2024,66.0336,28.0589,37.9747,42.5,4,BBCA; BBKP; BBRI; BNLI
IATA,2024,15.3337,12.3747,2.959,80.7,1,MAYA
ITMA,2024,15.0719,6.7867,8.2851,45.0,1,BMRI
CNKO,2024,11.1298,0.0,11.1298,0.0,0,
COAL,2024,8.2278,8.2278,0.0,100.0,1,BBCA
DEWA,2022,6.9458,6.9458,0.0,100.0,1,BBRI
DWGL,2022,6.6996,6.6996,0.0,100.0,1,BBRI
BSSR,2024,2.8375,2.8375,0.0,100.0,1,BNGA
BESS,2024,1.7866,1.5505,0.236,86.8,1,BMRI
BOSS,2022,0.2621,0.2621,0.0,100.0,1,PNBN
KKGI,2024,0.1853,0.0,0.1853,0.0,0,
