ticker,scenario,distress_year,years_to_distress
AADI,BAU,,
AADI,2C,,
AADI,1_5C,,
BYAN,BAU,,
BYAN,2C,,
BYAN,1_5C,,
PTBA,BAU,,
PTBA,2C,,
PTBA,1_5C,,
ITMG,BAU,,
ITMG,2C,2032.0,7.0
ITMG,1_5C,2029.0,4.0
BUMI,BAU,,
BUMI,2C,,
BUMI,1_5C,,
BSSR,BAU,,
BSSR,2C,,
BSSR,1_5C,,
GEMS,BAU,,
GEMS,2C,,
GEMS,1_5C,,
HRUM,BAU,2026.0,1.0
HRUM,2C,2026.0,1.0
HRUM,1_5C,2026.0,1.0
INDY,BAU,,
INDY,2C,,
INDY,1_5C,2040.0,15.0
TOBA,BAU,2031.0,6.0
TOBA,2C,2026.0,1.0
TOBA,1_5C,2026.0,1.0
MBAP,BAU,,
MBAP,2C,,
MBAP,1_5C,2033.0,8.0
KKGI,BAU,,
KKGI,2C,,
KKGI,1_5C,,
ARII,BAU,,
ARII,2C,,
ARII,1_5C,,
SMMT,BAU,,
SMMT,2C,,
SMMT,1_5C,,
MCOL,BAU,,
MCOL,2C,,
MCOL,1_5C,,
