parameter,perturbation,agg_sv_2c,agg_sv_1_5c,expected_sv,delta_sv_2c,delta_sv_1_5c
Baseline,-,79759.16163268668,128341.51972082452,70406.12056932203,0.0,0.0
Discount rate,+2pp,66987.80419106904,108136.07825191304,59235.94515200153,-12771.357441617642,-20205.44146891148
Discount rate,-2pp,96147.09251469013,154182.82592992584,84713.6847848538,16387.93088200345,25841.306209101313
Production volume,+10%,87735.0777959554,141175.671692907,77446.73262625426,7975.916163268717,12834.151972082473
Production volume,-10%,71783.24546941799,115507.36774874205,63365.50851238981,-7975.916163268688,-12834.151972082473
Cash cost,+15%,79759.16163268665,128341.5197208245,70406.12056932201,-2.9103830456733704e-11,-2.9103830456733704e-11
Cash cost,-15%,79759.1616326867,128341.51972082452,70406.12056932203,1.4551915228366852e-11,0.0
Mine life,+3yr,86090.11966572359,137484.08861981868,75681.27445223504,6330.958033036906,9142.568898994155
Mine life,-3yr,71903.96309970645,116635.37137584202,63752.19665263518,-7855.198532980226,-11706.148344982503
Coal price path,+15%,91723.03587758966,147592.7476789482,80967.03865472032,11963.874244902981,19251.227958123665
Coal price path,-15%,67795.28738778367,109090.29176270084,59845.20248392372,-11963.87424490301,-19251.22795812368
Carbon cost internal.,partial (EF=1.0),202058.5280922961,437451.27385359025,212058.79339299552,122299.36645960942,309109.7541327657
Carbon cost internal.,full (EF=2.2),348817.76784382743,808382.9788129091,382042.00078140374,269058.60621114075,680041.4590920846
Scenario weights,"(0.2, 0.5, 0.3)",79759.16163268668,128341.51972082452,78382.0367325907,0.0,0.0
Scenario weights,"(0.4, 0.3, 0.3)",79759.16163268668,128341.51972082452,62430.20440605335,0.0,0.0
