bank_ticker,AADI,ABMM,ADMR,ADRO,ARII,BESS,BOSS,BSSR,BUMI,BYAN,CNKO,COAL,CUAN,DEWA,DOID,DSSA,DWGL,GEMS,HRUM,IATA,INDY,ITMA,ITMG,KKGI,PTBA,SGER,TOBA,TOTAL
UNATTRIBUTED,680.87,40.774657,298.87356800000003,472.76199999999994,60.464000000000006,0.23602506335443038,0.0,0.0,0.0,0.0,11.129843987341772,0.0,194.902,0.0,30.254237,8.6886,0.0,0.0,311.02989,2.958968,531.103901,8.285134,9.0,0.185316,0.0,37.9746835443038,116.574173,2816.066996595
BMRI,0.0,36.5,0.0,0.0,0.0,1.5505291139240507,0.0,0.0,0.0,168.793773,0.0,0.0,43.203,0.0,0.0,585.9369019999999,0.0,146.961717,0.0,0.0,38.720186,6.786736,0.0,0.0,0.0,0.0,180.11170099999998,1208.564544113924
BBNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7598,0.0,0.0,0.0,199.712,0.0,549.584,57.178644,0.0,57.178644,0.0,0.0,0.0,0.0,1.404,0.0,79.1139240506329,0.0,0.0,974.9310120506327
BBCA,5.084,4.331147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.774507,0.0,8.227848101265822,267.053,0.0,0.0,117.103177,0.0,0.0,0.0,0.0,2.654115,0.0,0.0,0.0,0.0,11.657284430253165,0.068061,440.953139531519
BBRI,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,77.763412,0.0,0.0,0.0,0.0,6.945776,0.0,77.919808,6.699648924050633,77.919808,0.0,0.0,0.0,0.0,0.0,0.0,9.346835443037975,0.731855082278481,14.314206,287.6413494493671
BNLI,5.297,0.0,0.0,0.0,29.337,0.0,0.0,0.0,28.0,143.973477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.184,0.0,0.0,3.0115176113924047,0.0,261.80299461139236
BRIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.074841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.074841
MEGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.655736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.655736
BBKP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.631551,0.0,0.0,0.0,0.0,12.658227848101266,0.0,14.289778848101266
MAYA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.374707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.374707
NISP,0.0,9.590397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.325071,0.0,0.0,0.0,0.0,0.0,0.0,10.915467999999999
BNGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.837469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,10.137469
BDMN,0.0,0.0,0.0,0.0,8.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.473
PNBN,0.0,0.0,0.0,0.0,0.0,0.0,0.262091280886076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262091280886076
