scenario,scenario_label,channel,sub_channel,loss_usd_m,gdp_impact_pct
2C,2°C Paris-aligned,Fiscal,Corporate Tax,1022.8851769299665,0.05428503592501717
2C,2°C Paris-aligned,Fiscal,Royalty,262.68333018388694,0.013940737765634635
2C,2°C Paris-aligned,Fiscal,PTBA Dividend,32.6062587878454,0.0017304307165649567
2C,2°C Paris-aligned,Credit,Bank Deleveraging,14530.93377697502,0.18857298080092572
2C,2°C Paris-aligned,Market,Coal Equity,23734.1490631817,0.05398214343407513
2C,2°C Paris-aligned,Market,Bank Equity,2140.2606467311953,0.00486791655814525
1.5C,1.5°C Net Zero,Fiscal,Corporate Tax,1704.8086282166107,0.09047505987502862
1.5C,1.5°C Net Zero,Fiscal,Royalty,437.80555030647827,0.023234562942724395
1.5C,1.5°C Net Zero,Fiscal,PTBA Dividend,54.34376464640899,0.002884051194274927
1.5C,1.5°C Net Zero,Credit,Bank Deleveraging,24761.87202985427,0.3213434243489303
1.5C,1.5°C Net Zero,Market,Coal Equity,36248.194770744754,0.08244471896302824
1.5C,1.5°C Net Zero,Market,Bank Equity,3786.6115687136994,0.00861245997432987
